year,indicator,num_countries,rel_count,_indicator
2001,2.4.1,0.0,193,02_04_01
2002,2.4.1,0.0,193,02_04_01
2003,2.4.1,0.0,193,02_04_01
2004,2.4.1,0.0,193,02_04_01
2005,2.4.1,0.0,193,02_04_01
2006,2.4.1,0.0,193,02_04_01
2007,2.4.1,0.0,193,02_04_01
2008,2.4.1,0.0,193,02_04_01
2009,2.4.1,0.0,193,02_04_01
2010,2.4.1,0.0,193,02_04_01
2011,2.4.1,0.0,193,02_04_01
2012,2.4.1,0.0,193,02_04_01
2013,2.4.1,0.0,193,02_04_01
2014,2.4.1,0.0,193,02_04_01
2015,2.4.1,0.0,193,02_04_01
2016,2.4.1,0.0,193,02_04_01
2017,2.4.1,0.0,193,02_04_01
2018,2.4.1,0.0,193,02_04_01
2019,2.4.1,0.0,193,02_04_01
2020,2.4.1,0.0,193,02_04_01
1990,2.5.1,0.0,193,02_05_01
1991,2.5.1,0.0,193,02_05_01
1992,2.5.1,0.0,193,02_05_01
1993,2.5.1,0.0,193,02_05_01
1994,2.5.1,0.0,193,02_05_01
1995,2.5.1,102.0,193,02_05_01
1996,2.5.1,102.0,193,02_05_01
1997,2.5.1,102.0,193,02_05_01
